DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,FRP,Latitude,Longitude
2026/01/02 18:06:00,AQUA_M-T,Brasil,SANTA CATARINA,ITAIÓPOLIS,Mata Atlântica,5.0,1.66,0.03,34.2,-26.34281,-50.0177
2026/01/02 18:06:00,AQUA_M-T,Brasil,SANTA CATARINA,ITAIÓPOLIS,Mata Atlântica,6.0,1.68,0.02,36.5,-26.34253,-50.02262
2026/01/02 18:08:00,AQUA_M-T,Brasil,MINAS GERAIS,BURITIZEIRO,Cerrado,0.0,0.0,0.01,16.1,-17.65578,-45.32652
2026/01/02 18:08:00,AQUA_M-T,Brasil,MINAS GERAIS,TARUMIRIM,Mata Atlântica,13.0,0.0,0.96,9.3,-19.40587,-41.84436
2026/01/02 18:08:00,AQUA_M-T,Brasil,MINAS GERAIS,RIO VERMELHO,Mata Atlântica,11.0,4.67,0.0,10.0,-18.16236,-42.92531
2026/01/02 18:08:00,AQUA_M-T,Brasil,MINAS GERAIS,SABINÓPOLIS,Mata Atlântica,0.0,0.2,0.01,26.5,-18.67677,-43.21021
2026/01/02 18:08:00,AQUA_M-T,Brasil,MINAS GERAIS,CATUJI,Mata Atlântica,11.0,2.45,0.06,8.4,-17.44011,-41.51009
2026/01/02 18:08:00,AQUA_M-T,Brasil,MINAS GERAIS,JOSÉ RAYDAN,Mata Atlântica,4.0,1.26,0.03,8.8,-18.19308,-42.57414
2026/01/02 18:08:00,AQUA_M-T,Brasil,MINAS GERAIS,PEDRA DO ANTA,Mata Atlântica,1.0,34.31,0.0,5.6,-20.6434,-42.71347
2026/01/02 18:08:00,AQUA_M-T,Brasil,MINAS GERAIS,LASSANCE,Cerrado,0.0,0.1,0.04,8.0,-17.87297,-44.56886
2026/01/02 18:08:00,AQUA_M-T,Brasil,MINAS GERAIS,SÃO JOÃO EVANGELISTA,Mata Atlântica,4.0,1.56,0.0,13.0,-18.49629,-42.80803
2026/01/02 18:08:00,AQUA_M-T,Brasil,GOIÁS,BURITI ALEGRE,Cerrado,0.0,0.3,-999.0,17.7,-18.13532,-49.04282
2026/01/02 18:08:00,AQUA_M-T,Brasil,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,Mata Atlântica,11.0,4.96,0.5,6.9,-21.81204,-41.39133
2026/01/02 18:08:00,AQUA_M-T,Brasil,MINAS GERAIS,SÃO JOÃO EVANGELISTA,Mata Atlântica,4.0,1.55,0.0,9.7,-18.49765,-42.81726
2026/01/02 18:08:00,AQUA_M-T,Brasil,MINAS GERAIS,SÃO JOSÉ DO JACURI,Mata Atlântica,4.0,1.29,0.0,37.6,-18.19446,-42.58342
2026/01/02 18:08:00,AQUA_M-T,Brasil,ESPÍRITO SANTO,CONCEIÇÃO DA BARRA,Mata Atlântica,-999.0,0.0,0.11,12.4,-18.49283,-39.86872
2026/01/02 18:08:00,AQUA_M-T,Brasil,RIO DE JANEIRO,ARRAIAL DO CABO,Mata Atlântica,6.0,0.5,-999.0,6.6,-22.91483,-42.16642
2026/01/02 18:10:00,AQUA_M-T,Brasil,MINAS GERAIS,VÁRZEA DA PALMA,Cerrado,0.0,0.0,0.69,24.6,-17.17277,-44.8343
2026/01/02 18:10:00,AQUA_M-T,Brasil,MINAS GERAIS,JUVENÍLIA,Cerrado,0.0,0.0,0.01,6.7,-14.39398,-43.97329
2026/01/02 18:10:00,AQUA_M-T,Brasil,BAHIA,CARINHANHA,Cerrado,1.0,0.0,0.11,9.2,-13.90838,-43.99759
2026/01/02 18:10:00,AQUA_M-T,Brasil,MINAS GERAIS,VÁRZEA DA PALMA,Cerrado,0.0,0.0,0.7,32.6,-17.17142,-44.82458
2026/01/02 18:10:00,AQUA_M-T,Brasil,MINAS GERAIS,SÃO FRANCISCO,Cerrado,11.0,18.33,0.0,10.1,-15.67479,-45.05722
2026/01/02 18:13:00,AQUA_M-T,Brasil,TOCANTINS,PALMEIRAS DO TOCANTINS,Cerrado,2.0,0.0,0.09,8.6,-6.6178,-47.64373
2026/01/02 18:13:00,AQUA_M-T,Brasil,MARANHÃO,ALTO PARNAÍBA,Cerrado,0.0,8.21,0.0,4.3,-9.38152,-46.58522
2026/01/02 18:13:00,AQUA_M-T,Brasil,MARANHÃO,COLINAS,Cerrado,3.0,0.0,0.35,10.7,-5.99415,-44.57106
2026/01/02 18:13:00,AQUA_M-T,Brasil,MARANHÃO,MATÕES,Cerrado,4.0,0.0,0.68,79.6,-5.33279,-43.56367
2026/01/02 18:13:00,AQUA_M-T,Brasil,MARANHÃO,RIACHÃO,Cerrado,0.0,0.0,0.05,10.7,-7.39217,-46.7366
2026/01/02 18:13:00,AQUA_M-T,Brasil,TOCANTINS,CONCEIÇÃO DO TOCANTINS,Cerrado,3.0,3.34,0.0,30.9,-12.30908,-47.27887
2026/01/02 18:13:00,AQUA_M-T,Brasil,TOCANTINS,PARANÃ,Cerrado,0.0,0.0,0.06,12.2,-12.62862,-48.13742
2026/01/02 18:13:00,AQUA_M-T,Brasil,PARAÍBA,CONCEIÇÃO,Caatinga,2.0,0.0,0.86,133.4,-7.67691,-38.46598
2026/01/02 18:13:00,AQUA_M-T,Brasil,MARANHÃO,BALSAS,Cerrado,1.0,0.0,0.04,9.0,-7.41159,-46.04752
2026/01/02 18:13:00,AQUA_M-T,Brasil,MARANHÃO,MONTES ALTOS,Cerrado,8.0,0.0,0.12,5.6,-5.96797,-47.16515
2026/01/02 18:13:00,AQUA_M-T,Brasil,PERNAMBUCO,LAGOA GRANDE,Caatinga,0.0,0.0,1.0,24.9,-8.55602,-40.21954
2026/01/02 18:13:00,AQUA_M-T,Brasil,TOCANTINS,PARANÃ,Cerrado,0.0,0.0,0.06,17.2,-12.63024,-48.14994
2026/01/02 18:13:00,AQUA_M-T,Brasil,TOCANTINS,DUERÉ,Cerrado,0.0,49.7,0.0,13.5,-11.05398,-49.79879
2026/01/02 18:13:00,AQUA_M-T,Brasil,PERNAMBUCO,SANTA FILOMENA,Caatinga,0.0,0.0,1.0,21.6,-8.24276,-40.4977
2026/01/02 18:13:00,AQUA_M-T,Brasil,TOCANTINS,PARANÃ,Cerrado,0.0,0.0,0.06,20.8,-12.63251,-48.14225
2026/01/02 18:13:00,AQUA_M-T,Brasil,PARAÍBA,SANTANA DE MANGUEIRA,Caatinga,2.0,0.0,0.9,28.7,-7.6733,-38.4445
2026/01/02 18:13:00,AQUA_M-T,Brasil,MARANHÃO,TUNTUM,Cerrado,5.0,0.0,0.45,8.9,-5.63439,-44.88192
2026/01/02 18:13:00,AQUA_M-T,Brasil,TOCANTINS,SÃO BENTO DO TOCANTINS,Cerrado,8.0,0.0,0.04,36.3,-5.98068,-47.83922
2026/01/02 18:13:00,AQUA_M-T,Brasil,TOCANTINS,SÃO BENTO DO TOCANTINS,Cerrado,8.0,0.0,0.03,32.6,-5.98208,-47.84907
2026/01/02 18:13:00,AQUA_M-T,Brasil,MARANHÃO,BALSAS,Cerrado,2.0,0.0,0.09,12.0,-7.6002,-45.88963
2026/01/02 18:13:00,AQUA_M-T,Brasil,MARANHÃO,FERNANDO FALCÃO,Cerrado,3.0,0.0,0.07,5.8,-5.99687,-45.40035
2026/01/02 18:13:00,AQUA_M-T,Brasil,MARANHÃO,SÃO PEDRO DOS CRENTES,Cerrado,3.0,0.0,0.11,30.6,-6.88025,-46.38991
2026/01/02 18:13:00,AQUA_M-T,Brasil,PIAUÍ,MONSENHOR GIL,Caatinga,4.0,0.0,0.27,40.3,-5.58438,-42.73389
2026/01/02 18:13:00,AQUA_M-T,Brasil,PARAÍBA,CONCEIÇÃO,Caatinga,2.0,0.0,0.89,68.7,-7.68221,-38.47028
2026/01/02 18:13:00,AQUA_M-T,Brasil,MARANHÃO,SÃO PEDRO DOS CRENTES,Cerrado,2.0,0.0,0.16,6.8,-6.80277,-46.75417
2026/01/02 18:13:00,AQUA_M-T,Brasil,MARANHÃO,BARRA DO CORDA,Cerrado,8.0,0.0,0.08,9.8,-5.60047,-45.34001
2026/01/02 18:13:00,AQUA_M-T,Brasil,MARANHÃO,RIACHÃO,Cerrado,0.0,0.0,0.06,7.3,-7.36616,-46.75618
2026/01/02 18:13:00,AQUA_M-T,Brasil,TOCANTINS,SANTA RITA DO TOCANTINS,Cerrado,0.0,45.15,0.0,20.1,-10.99709,-49.62378
2026/01/02 18:13:00,AQUA_M-T,Brasil,TOCANTINS,SÃO BENTO DO TOCANTINS,Cerrado,8.0,0.0,0.03,79.8,-5.97143,-47.84061
2026/01/02 18:13:00,AQUA_M-T,Brasil,TOCANTINS,SÃO BENTO DO TOCANTINS,Cerrado,8.0,0.0,0.02,40.2,-5.97282,-47.85043
2026/01/02 18:13:00,AQUA_M-T,Brasil,CEARÁ,MONSENHOR TABOSA,Caatinga,8.0,0.0,1.0,27.5,-5.02377,-40.03836
2026/01/02 18:13:00,AQUA_M-T,Brasil,TOCANTINS,SANTA RITA DO TOCANTINS,Cerrado,0.0,45.24,0.0,19.7,-10.99503,-49.60869
2026/01/02 18:13:00,AQUA_M-T,Brasil,MARANHÃO,BARRA DO CORDA,Cerrado,8.0,0.0,0.39,9.3,-5.63144,-45.24493
2026/01/02 18:13:00,AQUA_M-T,Brasil,MARANHÃO,ESTREITO,Cerrado,4.0,0.0,0.23,10.8,-6.57376,-47.33601
2026/01/02 18:13:00,AQUA_M-T,Brasil,TOCANTINS,ANANÁS,Amazônia,8.0,0.0,0.23,9.0,-6.3102,-48.14121
2026/01/02 18:13:00,AQUA_M-T,Brasil,TOCANTINS,SANTA RITA DO TOCANTINS,Cerrado,0.0,42.04,0.0,9.5,-10.94847,-49.43343
2026/01/02 18:13:00,AQUA_M-T,Brasil,MARANHÃO,SÃO PEDRO DOS CRENTES,Cerrado,3.0,0.0,0.11,30.9,-6.88909,-46.38859
2026/01/02 18:13:00,AQUA_M-T,Brasil,TOCANTINS,ANANÁS,Amazônia,6.0,0.0,0.18,49.1,-6.37635,-48.33297
2026/01/02 18:13:00,AQUA_M-T,Brasil,TOCANTINS,CONCEIÇÃO DO TOCANTINS,Cerrado,3.0,3.34,0.0,12.5,-12.30756,-47.26788
2026/01/02 18:13:00,AQUA_M-T,Brasil,MARANHÃO,RIACHÃO,Cerrado,0.0,0.0,0.03,6.6,-7.39348,-46.74578
2026/01/02 18:13:00,AQUA_M-T,Brasil,MARANHÃO,MATÕES,Cerrado,3.0,0.0,1.0,28.7,-5.32731,-43.55977
2026/01/02 18:13:00,AQUA_M-T,Brasil,PERNAMBUCO,LAGOA GRANDE,Caatinga,0.0,0.0,1.0,34.0,-8.55356,-40.20417
2026/01/02 18:13:00,AQUA_M-T,Brasil,TOCANTINS,PARANÃ,Cerrado,0.0,3.08,0.02,9.6,-12.84715,-47.39346
2026/01/02 18:13:00,AQUA_M-T,Brasil,PARAÍBA,CONCEIÇÃO,Caatinga,2.0,0.0,0.91,69.2,-7.67882,-38.44905
2026/01/02 18:13:00,AQUA_M-T,Brasil,TOCANTINS,LIZARDA,Cerrado,0.0,4.91,0.02,20.2,-9.91496,-47.04115
2026/01/02 18:13:00,AQUA_M-T,Brasil,MARANHÃO,MATÕES,Cerrado,3.0,0.0,1.0,20.3,-5.33122,-43.55344
2026/01/02 18:13:00,AQUA_M-T,Brasil,TOCANTINS,DARCINÓPOLIS,Cerrado,2.0,0.0,0.02,13.7,-6.58319,-47.91749
2026/01/02 18:13:00,AQUA_M-T,Brasil,MARANHÃO,BARRA DO CORDA,Cerrado,8.0,0.0,0.6,10.3,-5.63013,-45.23608
2026/01/02 18:13:00,AQUA_M-T,Brasil,MARANHÃO,BARRA DO CORDA,Cerrado,8.0,0.0,0.07,6.9,-5.77615,-45.3521
2026/01/02 18:13:00,AQUA_M-T,Brasil,BAHIA,BARRA,Cerrado,6.0,2.47,0.03,13.1,-11.75921,-43.64462
2026/01/02 18:13:00,AQUA_M-T,Brasil,TOCANTINS,SÃO BENTO DO TOCANTINS,Cerrado,8.0,0.0,0.03,7.7,-5.8777,-47.75988
2026/01/02 18:13:00,AQUA_M-T,Brasil,PIAUÍ,PALMEIRAIS,Caatinga,2.0,0.0,0.59,8.4,-5.87527,-42.97065
2026/01/02 18:13:00,AQUA_M-T,Brasil,MARANHÃO,ALTO PARNAÍBA,Cerrado,0.0,7.29,0.0,14.6,-9.50895,-46.11893
2026/01/02 18:13:00,AQUA_M-T,Brasil,CEARÁ,TAUÁ,Caatinga,10.0,0.0,1.0,28.3,-5.86599,-40.3461
2026/01/02 18:13:00,AQUA_M-T,Brasil,TOCANTINS,CARIRI DO TOCANTINS,Cerrado,2.0,21.91,0.0,14.0,-11.91551,-49.11724
2026/01/02 18:13:00,AQUA_M-T,Brasil,TOCANTINS,DARCINÓPOLIS,Cerrado,2.0,0.0,0.02,16.8,-6.58174,-47.90738
2026/01/02 18:13:00,AQUA_M-T,Brasil,MARANHÃO,SÃO PEDRO DOS CRENTES,Cerrado,3.0,0.0,0.09,6.9,-6.87896,-46.38099
2026/01/02 18:15:00,AQUA_M-T,Brasil,PARÁ,SANTA LUZIA DO PARÁ,Amazônia,4.0,0.0,0.75,5.3,-1.53215,-46.9544
2026/01/02 18:15:00,AQUA_M-T,Brasil,PARÁ,OEIRAS DO PARÁ,Amazônia,4.0,0.0,0.05,12.5,-2.40507,-49.78109
